video_key, korean, english, role, time
QmJZqzzNCfU ,안녕,Hi,0,2500
QmJZqzzNCfU ,쟤가 저렇게 인사하면 콱 죽어버리고 싶어,This guy sayas "hello" I wanna kill my self,0,5000
QmJZqzzNCfU ,괜찮아요 오빠?,Are you okay sweetie?,0,9000
QmJZqzzNCfU ,누군가 내 목에 손을 집어넣고 내장을 잡아채서,I feel like someone grabbed my small intenstine,0,10000
QmJZqzzNCfU ,입 밖으로 꺼내서 목에 돌돌 마는 기분이야,pulled it out of my mouth and tied it around my neck,0,13000
QmJZqzzNCfU ,쿠키 먹을래?,Cookie? ,0,16200
QmJZqzzNCfU ,캐롤이 오늘 짐을 가져갔대,Carol moved her stuff out today,1,20000
QmJZqzzNCfU ,커피 타줄게. 고마워,Let me get you some coffee. Thanks,0,23000
QmJZqzzNCfU ,그만 내 아우라를 없앨 생각 말아줘,No No don't! Stop cleansing my aura ,0,29000
QmJZqzzNCfU ,그냥 내 아우라를 그냥 두란말야 알겠어?,Just leave my aura alone okay?,1,34000
QmJZqzzNCfU ,난 괜찮아 솔직히. 캐롤이 행복햇으면 좋겠어",I'll be fine. I hope she will be very happy.,0,38000
QmJZqzzNCfU ,아닐걸,No you don't,0,42000
QmJZqzzNCfU ,당연히 아니지 날 버리고 간 매정한 여잔데,No I don't. To hell with her. She left me!,1,43000
QmJZqzzNCfU ,캐롤이 레즈비언인거 정말 몰랐어?,And you never knew she was a lesbian,0,46000
QmJZqzzNCfU ,그래 몰랐다,No! Okay?,0,52000
QmJZqzzNCfU , 왜 항상 그걸 묻는 거지?,Why does everyone keep fixating on that,1,54000
QmJZqzzNCfU ,자기도 몰랐다는데 내가 어떻게 알았겠어? ,She didn't know. How should I know,0,58500
